,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1280549,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
55,"Before You Go","Lewis Capaldi",1274098,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
56,"Best Friend (feat. Doja Cat)",Saweetie,1247597,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
57,"Lonely (with benny blanco)","Justin Bieber",1233111,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
58,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1221808,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
59,"No Te Enamores - Remix",Milly,1175332,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
60,willow,"Taylor Swift",1150209,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
61,Goosebumps,HVME,1143369,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
62,Afterglow,"Ed Sheeran",1125717,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
63,"TE MUDASTE","Bad Bunny",1115138,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
64,"death bed (coffee for your head)",Powfu,1113674,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
65,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1103217,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
66,"Ropa Cara",Camilo,1102743,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
67,"lovely (with Khalid)","Billie Eilish",1092256,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,"Love Story (Taylor’s Version)","Taylor Swift",1084123,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
69,Circles,"Post Malone",1084007,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
70,"Holy (feat. Chance The Rapper)","Justin Bieber",1082180,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
71,"Relación - Remix",Sech,1076317,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
72,"Lucid Dreams","Juice WRLD",1069671,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,HOLIDAY,"Lil Nas X",1059670,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
74,Snowman,Sia,1054481,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
75,"The Hills","The Weeknd",1049061,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
76,Golden,"Harry Styles",1045777,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
77,LOCATION,"KAROL G",1035336,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
78,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1026995,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1020712,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
80,"At My Worst","Pink Sweat$",1010790,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
81,"Chica Ideal","Sebastian Yatra",1010386,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
82,"Breaking Me",Topic,1008298,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
83,Shallow,"Lady Gaga",1002386,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
84,goosebumps,"Travis Scott",998963,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
85,"My Head & My Heart","Ava Max",998737,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
86,"The Box","Roddy Ricch",997684,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
87,"Adore You","Harry Styles",995737,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
88,"Life Goes On",BTS,993365,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
89,"Mi Niña",Wisin,989049,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
90,BEBÉ,Camilo,983207,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
91,Señorita,"Shawn Mendes",974935,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,"Hasta Abajo","Kevin Roldan",971619,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
93,"In Your Eyes","The Weeknd",967771,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
94,Memories,"Maroon 5",963982,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
95,"Wishing Well","Juice WRLD",962763,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
96,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",955636,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
97,"Say You Won't Let Go","James Arthur",955465,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
98,Believer,"Imagine Dragons",940921,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
99,"Daddy Issues","The Neighbourhood",934604,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
100,Starboy,"The Weeknd",932103,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
101,"Blueberry Faygo","Lil Mosey",930816,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
102,"bad guy","Billie Eilish",925848,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
103,"Train Wreck","James Arthur",913729,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
104,SugarCrash!,ElyOtto,910684,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
105,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",910252,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
106,"Jocelyn Flores",XXXTENTACION,903433,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
107,"Take Me To Church",Hozier,896850,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
108,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,892655,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
109,"Why'd You Only Call Me When You're High?","Arctic Monkeys",890117,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
110,Perfect,"Ed Sheeran",889739,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
111,Polvo,"Nicky Jam",886893,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
112,Robbery,"Juice WRLD",883849,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
113,"Take You Dancing","Jason Derulo",883223,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
114,Fiel,"Los Legendarios",882672,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
115,Dior,"Pop Smoke",878675,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
116,"Shape of You","Ed Sheeran",875165,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
117,"I Feel It Coming","The Weeknd",873912,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
118,"HIGHEST IN THE ROOM","Travis Scott",867845,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
119,"La Tóxica",Farruko,865829,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
120,"Do I Wanna Know?","Arctic Monkeys",865146,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
121,"Vida de Rico",Camilo,864059,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
122,Falling,"Trevor Daniel",858591,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
123,"Life Is Good (feat. Drake)",Future,857726,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
124,"Break My Heart","Dua Lipa",857673,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
125,"All Girls Are The Same","Juice WRLD",853058,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
126,"If the World Was Ending - feat. Julia Michaels","JP Saxe",849883,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
127,"Una Locura",Ozuna,846984,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
128,"Come & Go (with Marshmello)","Juice WRLD",843270,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
129,"Put Your Records On","Ritt Momney",842593,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
130,"7 rings","Ariana Grande",837209,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
131,"All of Me","John Legend",835966,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
132,"Stuck with U (with Justin Bieber)","Ariana Grande",834232,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
133,"All We Got (feat. KIDDO)","Robin Schulz",824045,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
134,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande",823990,https://open.spotify.com/track/2sQH02O2HBCPJCztBrCWNa
135,"my ex's best friend (with blackbear)","Machine Gun Kelly",823604,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
136,Falling,"Harry Styles",821583,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
137,"Parce (feat. Justin Quiles)",Maluma,820347,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
138,"Dreams - 2004 Remaster","Fleetwood Mac",817957,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
139,"Martin & Gina","Polo G",813545,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
140,Hayloft,"Mother Mother",813188,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
141,"La Curiosidad","Jay Wheeler",811909,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
142,911,Sech,806995,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
143,"Se Te Nota (with Guaynaa)","Lele Pons",805982,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
144,CLOUDS,NF,805342,https://open.spotify.com/track/5UMMPHPp6vRP6ghPpSUOzp
145,SAD!,XXXTENTACION,798023,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
146,"Bohemian Rhapsody - Remastered 2011",Queen,791600,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
147,"Ride It",Regard,791070,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
